    1    0.10000E+01    0.35912E+03    0.17956E+03    0.35912E+03
    2    0.10000E+01    0.20406E+03    0.10203E+03    0.20406E+03
    3    0.10000E+01    0.34773E+03    0.17386E+03    0.34773E+03
    4    0.10000E+01    0.26925E+03    0.13463E+03    0.26925E+03
    5    0.10000E+01    0.13226E+03    0.66130E+02    0.13226E+03
    6    0.10000E+01    0.17303E+03    0.86515E+02    0.17303E+03
    7    0.10000E+01    0.26552E+02    0.13276E+02    0.26552E+02
    8    0.10000E+01    0.19279E+01    0.96393E+00    0.19279E+01
    9    0.10000E+01    0.12495E+03    0.62475E+02    0.12495E+03
   10    0.10000E+01    0.12321E+03    0.61604E+02    0.12321E+03
